"ID"	"kmer_coverage"	"bioproject"	"biosample"	"bioproject_title"	"bioproject_description"	"refs"	"sample_acc"	"assay_type"	"center_name"	"experiment"	"sample_name"	"organism"	"longitude"	"latitude"	"selected_location"	"locations"	"disease_source"	"disease_text"	"do_label"	"do_id"	"tissue"	"tissue_source"	"tissue_text"	"bto_id"	"contigs_n50"	"contigs_nbseq"	"contigs_maxlen"	"contigs_sumlen"	"unitigs_n50"	"unitigs_nbseq"	"unitigs_maxlen"	"unitigs_sumlen"	"instrument"	"librarylayout"	"libraryselection"	"librarysource"	"library_name"	"platform"	"sra_study"	"releasedate"	"mbytes"	"avgspotlen"	"mbases"	"biosamplemodel_sam"	"collection_date_sam"	"location_count"	"location_avg_coverage"	"location_max_coverage"	"location_min_coverage"	"location_med_coverage"
"SRR4019615"	"1"	"PRJNA338650"	"SAMN05560332"	"Cell responses to dysregulated VZV-induced cell-cell fusion"	"The highly conserved herpesvirus glycoprotein complex, gB/gH-gL, mediates membrane fusion during virion entry and cell-cell fusion.  Varicella-zoster virus (VZV) characteristically forms multi-nucleated cells, or syncytia, during the infection of human tissues but little is known about this process.  The cytoplasmic domain of VZV gB (gBcyt) has been implicated in cell-cell fusion regulation because a gB[Y881F] substitution causes hyperfusion.  The gBcyt regulation is necessary for VZV pathogenesis as the hyperfusogenic mutant gB[Y881F] is severely attenuated in human skin xenografts.  In this study, gBcyt regulated fusion was investigated by comparing melanoma cells infected with wild type-like VZV or hyperfusogenic mutants.  The gB[Y881F] mutant exhibited dramatically accelerated syncytia formation in melanoma cells caused by fusion of infected cells with many uninfected cells, increased cytoskeleton reorganization and rapid displacement of nuclei to dense central structures when compared to pOka using live cell confocal microscopy.  VZV and human transcriptomes were concurrently investigated using RNA-seq to identify viral and cellular responses induced when the gBcyt regulation was disrupted by the gB[Y881F] substitution.  The expression of four vital VZV genes, ORF61 and glycoproteins, gC, gE and gI, was significantly reduced at 36 hours post infection for the hyperfusogenic mutants.  Importantly, hierarchical clustering demonstrated an association of differential gene expression with dysregulated gBcyt-mediated fusion.  A subset of Ras GTPase genes linked to membrane remodeling were upregulated in cells infected with the hyperfusogenic mutants.  These data implicate the gBcyt in the regulation gB fusion function that, if unmodulated, triggers cellular processes leading to hyperfusion that attenuates VZV infection.Overall design: Biological duplicates from 3 time points (12, 24 and 36 hours post infection) of uninfected MeWo cells or MeWo cells infected with varicella-zoster virus strain pOka or mutants gB[Y881F], gB[Y920F] or gB[Y881/920F]"	"PubMed:27795423"	"SRS1610261"	"RNA-Seq"	"GEO"	"SRX2013136"	"GSM2267749"	"Homo sapiens"	""	""	""	""	""	""	""	""	""	""	""	""	"526"	"39834"	"6719"	"12212650"	"54"	"924372"	"2026"	"53475056"	"Illumina HiSeq 2000"	"SINGLE"	"cDNA"	"TRANSCRIPTOMIC"	""	"ILLUMINA"	"SRP081284"	"2017-03-01T00:00:00"	"486"	"51"	"765"	""	""	"0"	""	""	""	""
"SRR16554192"	"1"	"PRJNA773920"	"SAMN22544388"	"mNGS of subacute meningitis"	"HIV positive patients presenting with subacute meningitis in Uganda"	"PMC:8967864"	"SRS10703931"	"WGS"	"UNIVERSITY OF CALIFORNIA SAN FRANCISCO"	"SRX12756298"	"UG_SM_3_DNA_1470956-H"	"metagenome"	"32.58252"	"0.3476"	"lat_lon"	"{""geo_loc_name_country_calc"": [32.57501, 0.31589], ""geo_loc_name_sam"": [32.57501, 0.31589], ""geo_loc_name"": [""32.57501"", ""0.31589""]}"	""	""	""	""	""	""	""	""	"371"	"1894"	"2052"	"179590"	"38"	"54310"	"195"	"2115908"	"Illumina NovaSeq 6000"	"PAIRED"	"RANDOM"	"METAGENOMIC"	"Patient_6_DNA"	"ILLUMINA"	"SRP342912"	"2021-10-24T00:00:00"	"3"	"302"	"12"	"Metagenome or environmental"	"2018-03-01"	"4"	"0.91"	"1"	"0.63"	"1"
"SRR19738269"	"1"	"PRJNA850448"	"SAMN29182096"	"Transcriptional response to VZV infection is modulated by RNA Polymerase III in lung epithelial cell lines"	"Short interspersed nuclear elements (SINEs) are retrotransposons that generate exclusively double-stranded noncoding RNAs transcribed by the ancestral RNA polymerase III (Pol III), a multi-subunit polymerase. Although SINE ncRNAs are generally transcriptionally repressed, they can be induced in response to viral infections and can stimulate immune signaling pathways. Indeed, mutations in Pol III have been associated with poor antiviral interferon response following infection with varicella zoster virus (VZV). In this study, we probed the role of Pol III transcripts in the detection and initial immune response to VZV by characterizing the transcriptional response following VZV infection of wild type A549 lung epithelial cells as well as A549 cells lacking specific RNA sensor MAVS, or interferon-stimulated genes RNase L and PKR in presence or absence of functional RNA Pol III. Multiple components of the antiviral sensing and interferon signaling pathways were involved in restricting VZV replication in lung epithelial cells thus suggesting an innate defense system with built-in redundancy. In addition, RNase L deficiency led to a unique transcription profile indicating that RNA Pol III transcriptcs can act as immune sensors of VZV infection. Collectively, these findings suggest an essential role for RNA Pol III in the antiviral response to VZV infection."	"PMC:9359802"	"SRS13477241"	"RNA-Seq"	"UNIVERSITY OF KENTUCKY"	"SRX15784111"	"A549_RL6KO"	"Homo sapiens"	""	""	""	""	""	""	""	""	"lung"	"tissue"	"lung"	"BTO_0000763"	"298"	"1725931"	"21682"	"285029503"	"70"	"11089156"	"2693"	"703893301"	"Illumina HiSeq 4000"	"PAIRED"	"cDNA"	"GENOMIC"	"RL_siBrf1_Infected_-51"	"ILLUMINA"	"SRP382324"	"2022-07-12T00:00:00"	"3595"	"290"	"11882"	"Human"	""	"0"	""	""	""	""
"SRR157489"	"1"	""	"SAMN00254014"	""	""	""	"SRS183283"	"WGS"	"UCL"	"SRX052991"	"VZV CSF sample #1"	"Human herpesvirus 3"	""	""	""	""	""	""	""	""	""	""	""	""	"34"	"21594"	"1853"	"862954"	"34"	"803069"	"313"	"29194158"	"Illumina Genome Analyzer IIx"	"PAIRED"	"Hybrid Selection"	"GENOMIC"	"CSF 1"	"ILLUMINA"	"SRP006178"	"2012-01-18T00:00:00"	"1493"	"108"	"2917"	""	""	"0"	""	""	""	""
"SRR19738267"	"1"	"PRJNA850448"	"SAMN29182096"	"Transcriptional response to VZV infection is modulated by RNA Polymerase III in lung epithelial cell lines"	"Short interspersed nuclear elements (SINEs) are retrotransposons that generate exclusively double-stranded noncoding RNAs transcribed by the ancestral RNA polymerase III (Pol III), a multi-subunit polymerase. Although SINE ncRNAs are generally transcriptionally repressed, they can be induced in response to viral infections and can stimulate immune signaling pathways. Indeed, mutations in Pol III have been associated with poor antiviral interferon response following infection with varicella zoster virus (VZV). In this study, we probed the role of Pol III transcripts in the detection and initial immune response to VZV by characterizing the transcriptional response following VZV infection of wild type A549 lung epithelial cells as well as A549 cells lacking specific RNA sensor MAVS, or interferon-stimulated genes RNase L and PKR in presence or absence of functional RNA Pol III. Multiple components of the antiviral sensing and interferon signaling pathways were involved in restricting VZV replication in lung epithelial cells thus suggesting an innate defense system with built-in redundancy. In addition, RNase L deficiency led to a unique transcription profile indicating that RNA Pol III transcriptcs can act as immune sensors of VZV infection. Collectively, these findings suggest an essential role for RNA Pol III in the antiviral response to VZV infection."	"PMC:9359802"	"SRS13477241"	"RNA-Seq"	"UNIVERSITY OF KENTUCKY"	"SRX15784113"	"A549_RL6KO"	"Homo sapiens"	""	""	""	""	""	""	""	""	"lung"	"tissue"	"lung"	"BTO_0000763"	"282"	"1834623"	"10279"	"282508635"	"69"	"11585581"	"2210"	"726294661"	"Illumina HiSeq 4000"	"PAIRED"	"cDNA"	"GENOMIC"	"RL_siBrf1_Infected_-51_2-R"	"ILLUMINA"	"SRP382324"	"2022-07-12T00:00:00"	"3571"	"284"	"11840"	"Human"	""	"0"	""	""	""	""
"SRR4098583"	"1"	"PRJNA324581"	"SAMN05713718"	"Clinical sequencing Metagenome Metagenomic assembly"	"Metagenomic sequencing of samplings from clinical infections. Sample types include stool, nasopharynx, skin, etc."	""	"SRS1658283"	"OTHER"	"THE GENOME INSTITUTE AT WASHINGTON UNIVERSITY SCHOOL OF MEDICINE"	"SRX2067120"	"H_LA-CC24-1"	"viral metagenome"	"-90.19956"	"38.62775"	"geo_loc_name"	"{""geo_loc_name_sam"": [-90.19956, 38.62775], ""geo_loc_name_country_calc"": [""-77.03196"", ""38.89036""]}"	""	""	""	""	""	""	""	""	"1007"	"406929"	"35202"	"73023550"	"46"	"9977005"	"3316"	"448597539"	"Illumina HiSeq 2500"	"PAIRED"	"Hybrid Selection"	"METAGENOMIC"	"H_LA-CC24-1"	"ILLUMINA"	"SRP083744"	"2017-09-01T00:00:00"	"4220"	"249"	"13717"	"Metagenome or environmental"	""	"8"	"0.95"	"1"	"0.7"	"1"
"SRR19738268"	"1"	"PRJNA850448"	"SAMN29182096"	"Transcriptional response to VZV infection is modulated by RNA Polymerase III in lung epithelial cell lines"	"Short interspersed nuclear elements (SINEs) are retrotransposons that generate exclusively double-stranded noncoding RNAs transcribed by the ancestral RNA polymerase III (Pol III), a multi-subunit polymerase. Although SINE ncRNAs are generally transcriptionally repressed, they can be induced in response to viral infections and can stimulate immune signaling pathways. Indeed, mutations in Pol III have been associated with poor antiviral interferon response following infection with varicella zoster virus (VZV). In this study, we probed the role of Pol III transcripts in the detection and initial immune response to VZV by characterizing the transcriptional response following VZV infection of wild type A549 lung epithelial cells as well as A549 cells lacking specific RNA sensor MAVS, or interferon-stimulated genes RNase L and PKR in presence or absence of functional RNA Pol III. Multiple components of the antiviral sensing and interferon signaling pathways were involved in restricting VZV replication in lung epithelial cells thus suggesting an innate defense system with built-in redundancy. In addition, RNase L deficiency led to a unique transcription profile indicating that RNA Pol III transcriptcs can act as immune sensors of VZV infection. Collectively, these findings suggest an essential role for RNA Pol III in the antiviral response to VZV infection."	"PMC:9359802"	"SRS13477241"	"RNA-Seq"	"UNIVERSITY OF KENTUCKY"	"SRX15784112"	"A549_RL6KO"	"Homo sapiens"	""	""	""	""	""	""	""	""	"lung"	"tissue"	"lung"	"BTO_0000763"	"273"	"3261421"	"9118"	"402282995"	"61"	"16814898"	"2590"	"995055724"	"Illumina HiSeq 4000"	"PAIRED"	"cDNA"	"GENOMIC"	"RL_siBrf1_Infected_-51-R"	"ILLUMINA"	"SRP382324"	"2022-07-12T00:00:00"	"5939"	"283"	"19714"	"Human"	""	"0"	""	""	""	""
"SRR10017917"	"1"	"PRJNA561812"	"SAMN12628646"	"Kallikrein-mediated cytokeratin 10 degradation is required for VZV propagation in skin"	"Varicella Zoster Virus (VZV) is a skin-tropic virus that infects epidermal keratinocytes and causes chickenpox. Although common, VZV infection can be life-threatening particularly in the immunocompromised. Therefore, understanding VZV-keratinocyte interactions is important to find new treatments beyond vaccination and anti-viral drugs. In VZV- infected skin, Kallikrein 6 (KLK6), and the ubiquitin-ligase MDM2 are up-regulated concomitant with Keratin 10 (K10) down-regulation. MDM2 binds to K10 targeting it for degradation via the ubiquitin-proteasome pathway. Preventing K10 degradation reduced VZV propagation in culture and prevented epidermal disruption in skin explants. K10 knockdown induced expression of the nuclear receptor subfamily 4, group A, member 1 (NR4A1) and enhanced viral propagation in culture. NR4A1 knockdown prevented viral propagation in culture, reduced LC3 levels and increased LAMP2 expression. We therefore describe a novel drug-able pathway whereby MDM2 ubiquitinates and degrades K10 increasing NR4A1 expression allowing VZV replication and propagation."	""	"SRS5304777"	"RNA-Seq"	"UCL"	"SRX6755695"	"MeWo"	"Homo sapiens"	""	""	""	""	""	""	""	""	"skin"	"tissue"	"skin"	"BTO_0001253"	"287"	"76248"	"3884"	"11454088"	"41"	"4465527"	"709"	"185762771"	"NextSeq 550"	"PAIRED"	"Oligo-dT"	"TRANSCRIPTOMIC"	"pOka-V24-3"	"ILLUMINA"	"SRP219194"	"2019-08-26T00:00:00"	"1187"	"81"	"2922"	"Human"	""	"0"	""	""	""	""
"ERR1512386"	"1"	"PRJEB14639"	"SAMEA4058357"	"Deep-sequencing of distinct preparations of the live-attenuated VZV vaccine reveals a conserved core of attenuating SNPs"	"The continued success of the live-attenuated varicella zoster virus vaccine in preventing varicella and herpes zoster is well documented, as are many of the mutations that contribute to the attenuation of the vOka virus for replication in skin. At least three different preparations of vOKa are marketed. Here, we show using deep sequencing of seven batches of vOka vaccine (including ZostaVax, VariVax, VarilRix and the Oka/Biken working seed) from three different manufacturers (VariVax, GSK and Biken) that  137 SNP mutations are present in all vaccine batches. This includes six sites at which the vaccine allele is fixed or near-fixation which we speculate are likely to be important for attenuation. We additionally show that despite differences in the vaccine populations between preparations, batch to batch variation is minimal, as is the number and frequency of mutations unique to individual batches.  This suggests that the vaccine manufacturing processes are not introducing new mutations and notwithstanding the mixture of variants present, VZV live vaccines are extremely stable."	"PMC:5021409"	"ERS1229467"	"Targeted-Capture"	"UNIVERSITY COLLEGE LONDON"	"ERX1583413"	"SAMEA4058357"	"Human alphaherpesvirus 3"	"-0.13466"	"51.52462"	"INSDC center name"	""	""	""	""	""	""	""	""	""	"33"	"64097"	"2394"	"2320145"	"36"	"434338"	"745"	"17009360"	"Illumina MiSeq"	"PAIRED"	"other"	"GENOMIC"	"VVAG"	"ILLUMINA"	"ERP016293"	"2016-07-12T00:00:00"	"151"	"298"	"214"	""	""	"16"	"0.95"	"1"	"0.63"	"1"
"SRR7948105"	"1"	"PRJNA493815"	"SAMN10148251"	"Vaccine measles, mumps, rubella, chickenpox Metagenome"	"Effect of sequencing coverage reduction on species identification in complex biological matrix"	""	"SRS3862239"	"WGS"	"IGA TECHNOLOGY SERVICES SRL"	"SRX4782055"	"B2"	"metagenome"	"12.49563"	"41.90325"	"geo_loc_name"	"{""geo_loc_name_country_calc"": [12.49563, 41.90325], ""geo_loc_name_sam"": [""12.49563"", ""41.90325""]}"	""	""	""	""	""	""	""	""	"40"	"309858"	"5416"	"15775730"	"50"	"3855623"	"2055"	"190101979"	"Illumina HiSeq 2500"	"PAIRED"	"PCR"	"METAGENOMIC"	"1_Pri"	"ILLUMINA"	"SRP163096"	"2018-10-15T00:00:00"	"362"	"244"	"937"	"Metagenome or environmental"	""	"2"	"1"	"1"	"1"	"1"
