seqnames	gene_id	start	end
NC_001806.2	NC_001806.2_LAT	118777	127151
NC_001806.2	NC_001806.2_RL1	124834	125861
NC_001806.2	NC_001806.2_RL2	120675	124287
NC_001806.2	NC_001806.2_RS1	127173	131460
NC_001806.2	NC_001806.2_UL1	9338	10949
NC_001806.2	NC_001806.2_UL10	23205	24649
NC_001806.2	NC_001806.2_UL11	24801	25092
NC_001806.2	NC_001806.2_UL12	24801	26888
NC_001806.2	NC_001806.2_UL13	24801	28503
NC_001806.2	NC_001806.2_UL14	24801	28916
NC_001806.2	NC_001806.2_UL15	29021	34826
NC_001806.2	NC_001806.2_UL16	30174	31296
NC_001806.2	NC_001806.2_UL17	30174	33498
NC_001806.2	NC_001806.2_UL18	35024	36052
NC_001806.2	NC_001806.2_UL19	35024	40529
NC_001806.2	NC_001806.2_UL2	9885	10949
NC_001806.2	NC_001806.2_UL20	35024	41489
NC_001806.2	NC_001806.2_UL21	42075	43696
NC_001806.2	NC_001806.2_UL22	43866	46383
NC_001806.2	NC_001806.2_UL23	46609	47803
NC_001806.2	NC_001806.2_UL24	47738	52772
NC_001806.2	NC_001806.2_UL25	48814	52772
NC_001806.2	NC_001806.2_UL26	50810	52772
NC_001806.2	NC_001806.2_UL26.5	51728	52772
NC_001806.2	NC_001806.2_UL27	53059	55795
NC_001806.2	NC_001806.2_UL28	53059	58160
NC_001806.2	NC_001806.2_UL29	58410	62054
NC_001806.2	NC_001806.2_UL3	10991	11721
NC_001806.2	NC_001806.2_UL30	62807	66553
NC_001806.2	NC_001806.2_UL31	66377	67379
NC_001806.2	NC_001806.2_UL32	66377	69162
NC_001806.2	NC_001806.2_UL33	69161	70943
NC_001806.2	NC_001806.2_UL34	69633	70943
NC_001806.2	NC_001806.2_UL35	70566	70943
NC_001806.2	NC_001806.2_UL36	70983	80468
NC_001806.2	NC_001806.2_UL37	80712	84084
NC_001806.2	NC_001806.2_UL38	84531	86021
NC_001806.2	NC_001806.2_UL39	86443	90987
NC_001806.2	NC_001806.2_UL4	11754	12423
NC_001806.2	NC_001806.2_UL40	89925	90987
NC_001806.2	NC_001806.2_UL41	91115	92636
NC_001806.2	NC_001806.2_UL42	93112	94637
