"ID"	"kmer_coverage"	"bioproject"	"biosample"	"bioproject_title"	"bioproject_description"	"refs"	"sample_acc"	"assay_type"	"center_name"	"experiment"	"sample_name"	"organism"	"longitude"	"latitude"	"selected_location"	"locations"	"disease_source"	"disease_text"	"do_label"	"do_id"	"tissue"	"tissue_source"	"tissue_text"	"bto_id"	"contigs_n50"	"contigs_nbseq"	"contigs_maxlen"	"contigs_sumlen"	"unitigs_n50"	"unitigs_nbseq"	"unitigs_maxlen"	"unitigs_sumlen"	"instrument"	"librarylayout"	"libraryselection"	"librarysource"	"library_name"	"platform"	"sra_study"	"releasedate"	"mbytes"	"avgspotlen"	"mbases"	"biosamplemodel_sam"	"collection_date_sam"	"location_count"	"location_avg_coverage"	"location_max_coverage"	"location_min_coverage"	"location_med_coverage"
"SRR8889184"	"1"	"PRJNA532584"	"SAMN11404291"	"Total and newly transcribed (4sU-RNA) RNA of primary human fibroblasts infected with the vhs-null mutant of HSV-1"	"Primary human foreskin fibroblasts (HFF) were infected with vhs-null mutant of HSV-1 strain 17 at a multiplicity of infection (MOI) of 10. Newly transcribed RNA was labelled by adding 500µM 4-thiouridine (4sU) to the cell culture media for 1h. Total cellular RNA was isolated using Trizol. Newly transcribed RNA was purified following the protocol described in Raedle et al. JoVE 2013.Overall design: Primary human foreskin fibroblasts (HFF) were infected with the vhs-null mutant of HSV-1 strain 17 at a multiplicity of infection (MOI) of 10. Newly transcribed RNA was labelled by adding 500µM 4-thiouridine (4sU) to the cell culture media for 1h. Total cellular RNA was isolated using Trizol. Newly transcribed RNA was purified following the protocol described in Raedle et al. JoVE 2013 and Rutkowski et al. 2015."	"PubMed:33148793"	"SRS4616945"	"RNA-Seq"	"GEO"	"SRX5674886"	"GSM3720789"	"Homo sapiens"	""	""	""	""	"infection with"	"herpes simplex"	"herpes simplex"	"DOID_8566"	""	""	""	""	"273"	"536814"	"15442"	"75631910"	"53"	"8721868"	"3108"	"453496472"	"NextSeq 500"	"PAIRED"	"cDNA"	"TRANSCRIPTOMIC"	""	"ILLUMINA"	"SRP192356"	"2020-10-26T00:00:00"	"2178"	"150"	"5293"	""	""	"0"	""	""	""	""
"SRR10502414"	"1"	"PRJNA535604"	"SAMN13336464"	"High RNA polymerase II occupancy on herpes simplex virus 1 late genes early in infection suggests progression to elongation is a critical switch to trigger late viral gene expression"	"We report the PRO-seq data generated from our analysis of RNA Polymerase II location along the HSV-1 genome at 3 and 6 hpi.  This data set includes analysis of the 3hr time point in cells infected in the presence of cycloheximide and the 6hr time point in cells infected in the presence of  phosphonoacetic acid, flavopiridol and acyclovir.  We have compared the data set to a cytoplasmic mRNA seq data set which is also included.  This consisted of polyadenylated, cytoplasmic RNA analyzed at 3 and 6 hpi post infection. Here we are depositing the results from this analysis providing the raw data sequence files along with our bigwig files produced when aligning it to a concatenated genome file containing the drosophila dm3 genome build, the human hg38 genome build, and the included HSV-1 (F-strain) genome with the external repeat sequences deleted.  This data provides a nucletide-resolution map of RNA Pol II location in all of the described conditions.  By comparing differences between cytoplasmic mRNA production and between Pol II occupancy patterns between samples, we have been able to discern that HSV-1 transcription is a highly regulated process, that involves mechanisms downstream of RNA Pol II recruitment to a HSV-1 promoter region.Overall design: PRO-seq analysis in HSV-1 infected HeP2 cells at 3 hpi with and without cycloheximide, and at 3hpi with and without flavopiridol, phophonoacetic acid, and acyclovir. Cytoplasmic, mRNA transcript levels of HSV-1 gens was gathered by an mRNAseq analysis of HSV-1 polyadenylated, cytoplasmic transcript levels at 3 and 6 hpi.  These levels were then correlated back to Pol II occupancy from the PRO-seq analysis."	"PubMed:31826988"	"SRS5697448"	"RNA-Seq"	"GEO"	"SRX7191433"	"GSM4182496"	"Homo sapiens"	""	""	""	""	"viral infeciton"	"herpes simplex"	"herpes simplex"	"DOID_8566"	""	""	""	""	"68"	"147960"	"3156"	"9197915"	"37"	"2317771"	"1033"	"95541667"	"NextSeq 500"	"SINGLE"	"cDNA"	"TRANSCRIPTOMIC"	""	"ILLUMINA"	"SRP193891"	"2019-12-05T00:00:00"	"1839"	"75"	"4753"	""	""	"0"	""	""	""	""
"SRR8889191"	"1"	"PRJNA532584"	"SAMN11404319"	"Total and newly transcribed (4sU-RNA) RNA of primary human fibroblasts infected with the vhs-null mutant of HSV-1"	"Primary human foreskin fibroblasts (HFF) were infected with vhs-null mutant of HSV-1 strain 17 at a multiplicity of infection (MOI) of 10. Newly transcribed RNA was labelled by adding 500µM 4-thiouridine (4sU) to the cell culture media for 1h. Total cellular RNA was isolated using Trizol. Newly transcribed RNA was purified following the protocol described in Raedle et al. JoVE 2013.Overall design: Primary human foreskin fibroblasts (HFF) were infected with the vhs-null mutant of HSV-1 strain 17 at a multiplicity of infection (MOI) of 10. Newly transcribed RNA was labelled by adding 500µM 4-thiouridine (4sU) to the cell culture media for 1h. Total cellular RNA was isolated using Trizol. Newly transcribed RNA was purified following the protocol described in Raedle et al. JoVE 2013 and Rutkowski et al. 2015."	"PubMed:33148793"	"SRS4616948"	"RNA-Seq"	"GEO"	"SRX5674889"	"GSM3720792"	"Homo sapiens"	""	""	""	""	"infection with"	"herpes simplex"	"herpes simplex"	"DOID_8566"	""	""	""	""	"225"	"354437"	"14231"	"36853490"	"50"	"5164698"	"2748"	"257469711"	"NextSeq 500"	"PAIRED"	"cDNA"	"TRANSCRIPTOMIC"	""	"ILLUMINA"	"SRP192356"	"2020-10-26T00:00:00"	"1667"	"152"	"4604"	""	""	"0"	""	""	""	""
"SRR27022087"	"1"	"PRJNA1047640"	"SAMN38572606"	"Heterogenous silencing by H3K27me2 in HSV-1 lytic infection"	"Human foreskin fibroblasts (HFFs) infected with strain 17 HSV-1 at an MOI 3 PFU/cell for 2 or 4 hours before CUT&amp;RUN assays for IgG, H3K27me2 or H3K27me3. Cells were either pre-treated with GSK-J4 and treated throughout infection, or untreated controls."	""	"SRS19706615"	"OTHER"	"UNIVERSITY OF VIRGINIA"	"SRX22714491"	"4hGSKJ4K27me2_A"	"Human alphaherpesvirus 1"	"-78.47777"	"38.03219"	"geo_loc_name_sam"	"{""geo_loc_name_country_calc"": [-77.03196, 38.89036], ""geo_loc_name"": [""-78.47777"", ""38.03219""]}"	""	""	""	""	""	""	""	""	"177"	"867437"	"4180"	"81757219"	"98"	"5487302"	"2480"	"356960088"	"Illumina NovaSeq 6000"	"PAIRED"	"ChIP"	"GENOMIC"	"D31"	"ILLUMINA"	"SRP475378"	"2023-12-08T00:00:00"	"357"	"300"	"1110"	"Viral"	""	"18"	"0.9"	"1"	"0.64"	"1"
"SRR1523657"	"1"	"PRJNA256013"	"SAMN02935353"	"Wide-spread disruption of transcription termination in HSV-1 infection:  Next generation sequencing of total and newly transcribed (4sU-RNA) RNA"	"Primary human foreskin fibroblasts (HFF) were infected with wild-type simplex virus 1 (HSV-1) strain 17 at a multiplicity of infection (MOI) of 10. Newly transcribed RNA was labelled by adding 500µM 4-thiouridine (4sU) to the cell culture media for 1h. Total cellular RNA was isolated using Trizol. Newly transcribed RNA was purified following the protocol described in Raedle et al. JoVE 2013.Overall design: Newly transcribed RNA was labelled in one hour intervals during the first eight hours of HSV-1 infection. All nine 4sU-RNA samples as well as total cellular RNA of every second hour of infection were sent for sequencing. Two independent biological replicates were analysed."	"PubMed:28135292,25989971,29579120"	"SRS665428"	"RNA-Seq"	"GEO"	"SRX660429"	"GSM1444170"	"Homo sapiens"	""	""	""	""	"infection reagent"	"herpes simplex"	"herpes simplex"	"DOID_8566"	"foreskin"	"tissue"	"foreskin"	"BTO_0001113"	"154"	"1671733"	"3434"	"111526823"	"48"	"10764542"	"1042"	"532469157"	"Illumina HiSeq 2500"	"PAIRED"	"cDNA"	"TRANSCRIPTOMIC"	""	"ILLUMINA"	"SRP044766"	"2015-05-26T00:00:00"	"4685"	"202"	"7499"	""	""	"0"	""	""	""	""
"SRR24186798"	"1"	"PRJNA955802"	"SAMN34191989"	"Shared Sequence Characteristics Identified in Non-Canonical Rearrangements of HSV-1 Genomes"	"To investigate genetic rearrangements in the double-stranded DNA genome of herpes simplex virus type-1 (HSV-1), the viral population was serially passaged in various cell types. The serial passaging led to formation of defective genomes, resulted from cell-specific non- canonical rearrangements (NCRs). Interestingly, we discovered shared sequence characteristics underlying the formation of these NCRs across all cell types. Moreover, most NCRs identified in clinical samples shared these characteristics. Based on our findings, we propose a model elucidating the formation of NCRs during viral replication within the nucleus of eukaryotic cells."	""	"SRS17329739"	"WGS"	"SCHOOL OF MEDICINE, TEL AVIV UNIVERSITY"	"SRX19984206"	"p18_HFF1.2"	"Human alphaherpesvirus 1"	"34.80863"	"32.08413"	"geo_loc_name_sam"	"{""geo_loc_name_country_calc"": [35.21873, 31.78003], ""geo_loc_name"": [""34.80863"", ""32.08413""]}"	""	""	""	""	""	""	""	""	"166"	"1587553"	"4883"	"131454288"	"64"	"13534699"	"676"	"759568767"	"Illumina HiSeq 2500"	"PAIRED"	"size fractionation"	"GENOMIC"	"p18_HFF1.2"	"ILLUMINA"	"SRP432903"	"2023-10-18T00:00:00"	"2067"	"245"	"5276"	"Viral"	"2020-07-01"	"104"	"1"	"1"	"1"	"1"
"SRR5765611"	"1"	"PRJNA392299"	"SAMN07290472"	"ATAC-seq on HSV-1 infected primary human fibroblasts (time course)"	"Primary human foreskin fibroblasts (HFF) were infected with wild-type simplex virus 1 (HSV-1) strain 17 at a multiplicity of infection (MOI) of 10. ATAC-seq libraries were prepared starting with 50,000 cells per condition following the protocol described by Buenrostro et al., Nature Methods 2013Overall design: HFF were infected with HSV-1 strain 17 for 0 to 8 h post infection. ATAC-seq samples were prepared at the indicated times of infection. Two independent biological replicates were analyzed."	"PubMed:29579120,40130876"	"SRS2322712"	"ATAC-seq"	"GEO"	"SRX2965230"	"GSM2688934"	"Homo sapiens"	""	""	""	""	""	""	""	""	""	""	""	""	"173"	"158083"	"9472"	"11889177"	"53"	"4306349"	"2814"	"215993550"	"NextSeq 500"	"PAIRED"	"other"	"GENOMIC"	""	"ILLUMINA"	"SRP110695"	"2018-03-08T00:00:00"	"743"	"133"	"1955"	""	""	"0"	""	""	""	""
"SRR5765643"	"1"	"PRJNA392299"	"SAMN07290468"	"ATAC-seq on HSV-1 infected primary human fibroblasts (time course)"	"Primary human foreskin fibroblasts (HFF) were infected with wild-type simplex virus 1 (HSV-1) strain 17 at a multiplicity of infection (MOI) of 10. ATAC-seq libraries were prepared starting with 50,000 cells per condition following the protocol described by Buenrostro et al., Nature Methods 2013Overall design: HFF were infected with HSV-1 strain 17 for 0 to 8 h post infection. ATAC-seq samples were prepared at the indicated times of infection. Two independent biological replicates were analyzed."	"PubMed:29579120,40130876"	"SRS2322709"	"ATAC-seq"	"GEO"	"SRX2965234"	"GSM2688938"	"Homo sapiens"	""	""	""	""	""	""	""	""	""	""	""	""	"154"	"243904"	"5338"	"15548613"	"54"	"3641113"	"1404"	"185551171"	"NextSeq 500"	"PAIRED"	"other"	"GENOMIC"	""	"ILLUMINA"	"SRP110695"	"2018-03-08T00:00:00"	"535"	"134"	"1389"	""	""	"0"	""	""	""	""
"SRR24186761"	"1"	"PRJNA955802"	"SAMN34192015"	"Shared Sequence Characteristics Identified in Non-Canonical Rearrangements of HSV-1 Genomes"	"To investigate genetic rearrangements in the double-stranded DNA genome of herpes simplex virus type-1 (HSV-1), the viral population was serially passaged in various cell types. The serial passaging led to formation of defective genomes, resulted from cell-specific non- canonical rearrangements (NCRs). Interestingly, we discovered shared sequence characteristics underlying the formation of these NCRs across all cell types. Moreover, most NCRs identified in clinical samples shared these characteristics. Based on our findings, we propose a model elucidating the formation of NCRs during viral replication within the nucleus of eukaryotic cells."	""	"SRS17329777"	"WGS"	"SCHOOL OF MEDICINE, TEL AVIV UNIVERSITY"	"SRX19984243"	"p1-U2OS1.3"	"Human alphaherpesvirus 1"	"34.80863"	"32.08413"	"geo_loc_name_sam"	"{""geo_loc_name_country_calc"": [35.21873, 31.78003], ""geo_loc_name"": [""34.80863"", ""32.08413""]}"	""	""	""	""	""	""	""	""	"93"	"7378"	"8476"	"515031"	"93"	"158500"	"466"	"10704489"	"Illumina HiSeq 2500"	"PAIRED"	"size fractionation"	"GENOMIC"	"p1-U2OS1.3"	"ILLUMINA"	"SRP432903"	"2023-10-18T00:00:00"	"17"	"257"	"46"	"Viral"	"2021-01-01"	"104"	"1"	"1"	"1"	"1"
"SRR8874979"	"1"	"PRJNA531885"	"SAMN11388298"	"Subcellular RNA fractions of HSV-1 infected primary human fibroblasts including infection with delta-Vhs mutant"	"Primary human foreskin fibroblasts (HFF) were infected with wild-type simplex virus 1 (HSV-1) strain 17 or its vhs null mutant at a multiplicity of infection (MOI) of 10. Subcellular RNA fractions including total RNA, cytoplasmic RNA, nucleoplasmic RNA and chromatin-associated RNA were prepared and subjected to RNA-seq.Overall design: HFF were infected with HSV-1 strain 17 or its vhs-null mutant for 8h (or mock). Subcellular RNA fractions were prepared combining the following two protocols (PMID: 19656867, RNA 2009; and PMID: 23449254, Nature Protocols 2013) as described in Hennig et al., PLoS Pathogens 2018 (https://doi.org/10.1371/journal.ppat.1006954). Two independent biological replicates were analysed. Data for HFF infected with wild-type HSV-1 strain 17 for 8h (or mock) can  be found under accession GSE100576."	"PubMed:33148793"	"SRS4605416"	"RNA-Seq"	"GEO"	"SRX5661945"	"GSM3716675"	"Homo sapiens"	""	""	""	""	""	""	""	""	""	""	""	""	"248"	"474453"	"16255"	"49971632"	"50"	"6175863"	"2731"	"308293316"	"NextSeq 500"	"PAIRED"	"cDNA"	"TRANSCRIPTOMIC"	""	"ILLUMINA"	"SRP191795"	"2020-10-26T00:00:00"	"1673"	"150"	"4616"	""	""	"0"	""	""	""	""
