"ID"	"kmer_coverage"	"bioproject"	"biosample"	"bioproject_title"	"bioproject_description"	"refs"	"sample_acc"	"assay_type"	"center_name"	"experiment"	"sample_name"	"organism"	"longitude"	"latitude"	"selected_location"	"locations"	"disease_source"	"disease_text"	"do_label"	"do_id"	"tissue"	"tissue_source"	"tissue_text"	"bto_id"	"contigs_n50"	"contigs_nbseq"	"contigs_maxlen"	"contigs_sumlen"	"unitigs_n50"	"unitigs_nbseq"	"unitigs_maxlen"	"unitigs_sumlen"	"instrument"	"librarylayout"	"libraryselection"	"librarysource"	"library_name"	"platform"	"sra_study"	"releasedate"	"mbytes"	"avgspotlen"	"mbases"	"biosamplemodel_sam"	"collection_date_sam"	"location_count"	"location_avg_coverage"	"location_max_coverage"	"location_min_coverage"	"location_med_coverage"
"ERR5036004"	"1"	"PRJEB17709"	"SAMEA104548848"	"Dynamic characterization of the PRV transcriptome"	"In this study PolyA selected RNA was isolated from Pseudorabies virus (PRV) infected PK-15 (Porcine kidney 15) cell lines 1, 2, 4, 6, 8 and 12 hours after infection and reverse transcribed to double-stranded cDNA. The cDNA was sequenced using a Pacific Biosciences RSII sequencer. The sequenced reads were attributed to previously annotated transcripts of the PRV to characterize the changes in the viral transcriptome. We used relative expression values to classify each transcript into kinetic groups (E - early, L1 - leaky-late, L2 - true late). Using long-read sequencing we managed to differentiate between different transcript isoforms and we also characterized the kinetics of some novel transcripts."	"PMC:5786565"	"ERS2160132"	"RNA-Seq"	"UNIVERSITY OF SZEGED"	"ERX4842352"	"SAMEA104548848"	"Suid alphaherpesvirus 1"	"20.15911"	"46.23163"	"INSDC center name"	""	""	""	""	""	""	""	""	""	"32"	"238856"	"1578"	"8775514"	"32"	"3048370"	"550"	"105817036"	"MinION"	"SINGLE"	"Oligo-dT"	"TRANSCRIPTOMIC"	"ont-cDNA-12h-1"	"OXFORD_NANOPORE"	"ERP019579"	"2021-01-08T00:00:00"	"328"	"582"	"392"	""	""	"5"	"0.91"	"1"	"0.62"	"1"
"SRR23991550"	"1"	"PRJNA949617"	"SAMN33950808"	"Lack of strong innate immune reactivity renders macrophages alone unable to control productive Varicella-Zoster Virus infection in an isogenic human iPSC-derived neuronal co-culture model."	"With Varicella-Zoster Virus (VZV) being an exclusive human pathogen, human induced pluripotent stem cell (hiPSC)-derived neural cell culture models are an emerging tool to investigate VZV neuro-immune interactions. Using a compartmentalized hiPSC-derived neuronal model allowing axonal VZV infection, we previously demonstrated that paracrine interferon (IFN)-α2 signalling is required to activate a broad spectrum of interferon-stimulated genes able to counteract a productive VZV infection in hiPSC-neurons. In this new study, we now investigated whether innate immune signalling by VZV-challenged macrophages was able to orchestrate an antiviral immune response in VZV-infected hiPSC-neurons. In order to establish an isogenic hiPSC-neuron / hiPSC-macrophage co-culture model, hiPSC-macrophages were generated and characterised for phenotype, gene expression, cytokine production and phagocytic capacity. Even though immunological competence of hiPSC-macrophages was shown following stimulation with the VZV mimic poly(dA:dT) or treatment with IFN-α2, hiPSC-macrophages in co-culture with VZV-infected hiPSC-neurons were unable to mount an antiviral immune response capable of suppressing a productive neuronal VZV infection. Subsequently, a comprehensive RNA-Seq analysis confirmed the lack of strong immune responsiveness by hiPSC-neurons and hiPSC-macrophages upon, respectively, VZV infection or challenge. This may suggest the need of other cell types, like T-cells or other innate immune cells, to (co-)orchestrate an efficient antiviral immune response against VZV-infected neurons.Overall design: We generated bulk RNA-seq samples from both hiPSC-neurons and hiPSC-macrophages, stimulated with the pro-inflammatory pdAT or cell-free VZV-eGFP/ORF23."	"PubMed:37287975"	"SRS17157641"	"RNA-Seq"	"VACCINE AND INFECTIOUS DISEASE INSTITUTE (VAXINFECTIO), UNIVERSITY OF ANTWERP"	"SRX19795218"	"GSM7120143"	"Homo sapiens"	""	""	""	""	""	""	""	""	""	""	""	""	"32"	"965576"	"774"	"37602537"	"33"	"4288939"	"497"	"169407463"	"NextSeq 500"	"SINGLE"	"cDNA"	"TRANSCRIPTOMIC"	"GSM7120143"	"ILLUMINA"	"SRP429741"	"2023-04-19T00:00:00"	"224"	"149"	"511"	""	""	"0"	""	""	""	""
"ERR2182872"	"1"	"PRJEB23238"	"SAMEA104360601"	"A unique spliced varicella-zoster virus latency transcript represses expression of the viral transactivator gene 61"	"During primary infection, neurotropic alphaherpesviruses (αHVs) gain access to neurons in sensory and cranial ganglia establishing lifelong latent infection from which they can later reactivate to cause debilitating disease. For most αHVs, including the best-studied herpes simplex type 1 ( HSV-1), viral latency is characterized by expression of a single or restricted set of transcripts that map antisense to the open reading frame (ORF) homologous to the major HSV immediate early viral transactivator, ICP0. These latency transcripts, either directly or through encoded miRNAs or proteins, repress expression of the ICP0 orthologues. The exception is varicella-zoster virus (VZV), an αHV which infects over 90% of adults and for which neither a canonical latency transcript1, nor a putative mechanism for repressing lytic transcription during latency have been identified. Here, we describe the discovery and functional characterization of a VZV latency transcript (VLT), that maps antisense to VZV ORF 61 (the VZV ICP0 homologue9,10), and which is consistently expressed in neurons of latently infected human trigeminal ganglia (TG). VLT encodes a protein with late kinetics during lytic VZV infection in vitro and in zoster skin lesions. Whereas multiple alternatively spliced VLT isoforms are expressed during lytic VZV infection, a single unique VLT isoform that specifically suppresses ORF61 gene expression predominates in latently VZV-infected human TG. The discovery of VLT directly unifies the latent VZV transcription program with those of better-characterized αHVs, removing longstanding barriers to understanding VZV latency and paving the way for research into the development of vaccines that do not establish latency or reactivate, and drugs that eradicate latent VZV."	"PMC:5862956"	"ERS1985579"	"RNA-Seq"	"UNIVERSITY COLLEGE LONDON"	"ERX2239039"	"SAMEA104360601"	"Homo sapiens"	"-0.13466"	"51.52462"	"INSDC center name"	""	""	""	""	""	""	""	""	""	"263"	"2870"	"3570"	"421797"	"34"	"4609967"	"177"	"157949584"	"NextSeq 550"	"PAIRED"	"unspecified"	"TRANSCRIPTOMIC"	"unspecified"	"ILLUMINA"	"ERP104977"	"2017-12-28T00:00:00"	"1271"	"68"	"2993"	""	""	"17"	"0.95"	"1"	"0.5"	"1"
"SRR19738274"	"1"	"PRJNA850448"	"SAMN29182095"	"Transcriptional response to VZV infection is modulated by RNA Polymerase III in lung epithelial cell lines"	"Short interspersed nuclear elements (SINEs) are retrotransposons that generate exclusively double-stranded noncoding RNAs transcribed by the ancestral RNA polymerase III (Pol III), a multi-subunit polymerase. Although SINE ncRNAs are generally transcriptionally repressed, they can be induced in response to viral infections and can stimulate immune signaling pathways. Indeed, mutations in Pol III have been associated with poor antiviral interferon response following infection with varicella zoster virus (VZV). In this study, we probed the role of Pol III transcripts in the detection and initial immune response to VZV by characterizing the transcriptional response following VZV infection of wild type A549 lung epithelial cells as well as A549 cells lacking specific RNA sensor MAVS, or interferon-stimulated genes RNase L and PKR in presence or absence of functional RNA Pol III. Multiple components of the antiviral sensing and interferon signaling pathways were involved in restricting VZV replication in lung epithelial cells thus suggesting an innate defense system with built-in redundancy. In addition, RNase L deficiency led to a unique transcription profile indicating that RNA Pol III transcriptcs can act as immune sensors of VZV infection. Collectively, these findings suggest an essential role for RNA Pol III in the antiviral response to VZV infection."	"PMC:9359802"	"SRS13477240"	"RNA-Seq"	"UNIVERSITY OF KENTUCKY"	"SRX15784106"	"A549_PKRKO"	"Homo sapiens"	""	""	""	""	""	""	""	""	"lung"	"tissue"	"lung"	"BTO_0000763"	"259"	"1226621"	"13480"	"190435898"	"72"	"8636951"	"2283"	"537885536"	"Illumina HiSeq 4000"	"PAIRED"	"cDNA"	"GENOMIC"	"PKR_Untransfected_Infected_-31"	"ILLUMINA"	"SRP382324"	"2022-07-12T00:00:00"	"2186"	"280"	"7156"	"Human"	""	"0"	""	""	""	""
"SRR7754050"	"1"	"PRJNA324581"	"SAMN05713721"	"Clinical sequencing Metagenome Metagenomic assembly"	"Metagenomic sequencing of samplings from clinical infections. Sample types include stool, nasopharynx, skin, etc."	""	"SRS1658277"	"WGS"	"WASHINGTON UNIVERSITY SCHOOL OF MEDICINE"	"SRX4609941"	"H_LA-CC19.4-1"	"viral metagenome"	"-90.19956"	"38.62775"	"geo_loc_name"	"{""geo_loc_name_sam"": [-90.19956, 38.62775], ""geo_loc_name_country_calc"": [""-77.03196"", ""38.89036""]}"	""	""	""	""	""	""	""	""	"151"	"5282"	"2539"	"392349"	"34"	"145726"	"1034"	"5729500"	"Illumina HiSeq 2500"	"PAIRED"	"RANDOM"	"METAGENOMIC"	"H_LA-CC19.4-1"	"ILLUMINA"	"SRP083744"	"2018-08-24T00:00:00"	"35"	"118"	"98"	"Metagenome or environmental"	""	"8"	"0.9"	"1"	"0.58"	"1"
"SRR8069691"	"1"	"PRJNA497243"	"SAMN10251233"	"RNA-Sequencing data of Varicella Zoster Virus (VZV)-infected human dermal fibroblasts (HDF)"	"RNA profiles of HDF infected with various VZV strains were generated by High-throughput sequencing using Illumina Hi-seq 2500Overall design: Investigation of host immune response differences in response to infection with clinical VZV and vaccine VZV."	"PubMed:31658769"	"SRS3944509"	"RNA-Seq"	"GEO"	"SRX4897983"	"GSM3433679"	"Homo sapiens"	""	""	""	""	""	""	""	""	""	""	""	""	"842"	"247915"	"12525"	"55106664"	"57"	"3466567"	"5109"	"193728823"	"Illumina HiSeq 2500"	"PAIRED"	"cDNA"	"TRANSCRIPTOMIC"	""	"ILLUMINA"	"SRP165984"	"2018-10-19T00:00:00"	"2274"	"202"	"4532"	""	""	"0"	""	""	""	""
"ERR6150240"	"1"	"PRJEB45678"	"SAMEA8946462"	"A Variant allele in Varicella-Zoster Virus Glycoprotein B, Selected during Production of the Varicella Vaccine, Contributes to its Attenuation"	"Attenuation of the live varicella Oka vaccine (vOka) has been attributed to mutations in the genome acquired during cell culture passage of pOka (parent strain); however, the precise mechanisms of attenuation remain unknown. Comparative sequence analyses of several vaccine batches showed that over 100 single-nucleotide polymorphisms (SNPs) are conserved across all vaccine batches; six SNPs are fixed or nearly fixed, suggesting that these SNPs are responsible for attenuation. By contrast, prior analysis of chimeric vOka and pOka recombinants indicates that loci other than these six SNPs contribute to attenuation. Here, we report that pOka consists of a heterogenous population of virus sequences with two nearly equally represented bases, G or A, at nucleotide 2096 of ORF31 which encodes glycoprotein B (gB) resulting in arginine (R) or glutamine (Q), respectively, at amino acid 699 of gB. While 2096A/699Q is dominant in vOka (99.99 to 100%). gB699Q/gH/gL showed significantly less fusion activity than gB699R/gH/gL in a cell-based fusion assay. Recombinant pOka with gB-669Q (rpOka-gB699Q) had a similar growth phenotype as vOka during lytic infection in cell culture; however, rpOka-gB699R showed a growth phenotype similar to pOka. rpOka-gB699R entered neurons from axonal terminals more efficiently than rpOka-gB699Q in the presence of cell membrane-derived vesicles containing gB. Strikingly, when a mixture of pOka with both alleles equally represented was used to infect human neurons from axon terminals, pOka with gB699R was dominant for virus entry. These results identify a variant allele in gB that contributes to attenuation of vOka."	"PMC:9426484"	"ERS6629236"	"WGS"	"NEW YORK UNIVERSITY SCHOOL OF MEDICINE"	"ERX5787064"	"SAMEA8946462"	"Human alphaherpesvirus 3"	"-73.9743"	"40.7423"	"INSDC center name"	""	""	""	""	""	""	""	""	""	"183"	"407557"	"8404"	"50653778"	"104"	"2016974"	"660"	"136500797"	"NextSeq 550"	"PAIRED"	"RANDOM"	"GENOMIC"	"pOka_14d_latency_rep1"	"ILLUMINA"	"ERP129818"	"2021-10-04T00:00:00"	"268"	"351"	"466"	""	""	"26"	"0.99"	"1"	"0.82"	"1"
"ERR244040"	"1"	"PRJEB2768"	"SAMEA1709612"	"Herpesvirus_whole_genome_sequencing"	"Very little is known about genome diversity of herpesviruses and there are currently very few genome sequences in Genbank. Whole genome sequencing of large DNA viruses is complicated by the difficulty in separating virus DNA from human DNA. In this project we will address this issue by using Agilent SureSelect technology and Illumina deep sequencing to sequence several members of the herpesvirus family, including Epstein Barr virus (EBV, HHV4), Kaposi’s sarcoma associated herpesvirus (KSHV, HHV8) and varicella zoster virus (VZV, HHV3). We have designed custom baits to the available reference sequences and will use these to pull out virus sequence from host DNA and then Illumina sequence the captured virus DNA. The short read data will be assembled into a genome consensus sequence for each virus and importantly, allow analysis of virus minority species, which may be important for pathogenesis.  We will use a range of samples including DNA from cell lines latently infected with either EBV or KSHV or both viruses. These data will enable an initial estimation of genome diversity and highlight differences at the genetic level between EBV and KSHV from different cell lines. Further studies will generate herpesvirus genome sequences from clinical samples, including varicella, Kaposi’s sarcoma and nasopharyngeal carcinoma to investigate virus genetic diversity and pathogenic determinants.  http://www.sanger.ac.uk/resources/downloads/viruses/herpesviridae-lymphocryptovirus  http://www.sanger.ac.uk/resources/downloads/viruses/herpesviridae-rhadinovirus  http://www.sanger.ac.uk/resources/downloads/viruses/herpesviridae-simplexvirus"	"PMC:11943181,8235469"	"ERS074862"	"WGS"	"SC"	"ERX218574"	"SAMEA1709612"	"human gammaherpesvirus 4"	"-81.04537"	"33.99882"	"INSDC center name"	""	""	""	""	""	""	""	""	""	"87"	"11123"	"7767"	"773120"	"36"	"620690"	"442"	"23870396"	"Illumina HiSeq 2000"	"PAIRED"	"RANDOM"	"GENOMIC"	"2674238"	"ILLUMINA"	"ERP001026"	"2013-03-23T00:00:00"	"271"	"200"	"452"	""	""	"39"	"0.95"	"1"	"0.52"	"1"
"ERR244051"	"1"	"PRJEB2768"	"SAMEA1709570"	"Herpesvirus_whole_genome_sequencing"	"Very little is known about genome diversity of herpesviruses and there are currently very few genome sequences in Genbank. Whole genome sequencing of large DNA viruses is complicated by the difficulty in separating virus DNA from human DNA. In this project we will address this issue by using Agilent SureSelect technology and Illumina deep sequencing to sequence several members of the herpesvirus family, including Epstein Barr virus (EBV, HHV4), Kaposi’s sarcoma associated herpesvirus (KSHV, HHV8) and varicella zoster virus (VZV, HHV3). We have designed custom baits to the available reference sequences and will use these to pull out virus sequence from host DNA and then Illumina sequence the captured virus DNA. The short read data will be assembled into a genome consensus sequence for each virus and importantly, allow analysis of virus minority species, which may be important for pathogenesis.  We will use a range of samples including DNA from cell lines latently infected with either EBV or KSHV or both viruses. These data will enable an initial estimation of genome diversity and highlight differences at the genetic level between EBV and KSHV from different cell lines. Further studies will generate herpesvirus genome sequences from clinical samples, including varicella, Kaposi’s sarcoma and nasopharyngeal carcinoma to investigate virus genetic diversity and pathogenic determinants.  http://www.sanger.ac.uk/resources/downloads/viruses/herpesviridae-lymphocryptovirus  http://www.sanger.ac.uk/resources/downloads/viruses/herpesviridae-rhadinovirus  http://www.sanger.ac.uk/resources/downloads/viruses/herpesviridae-simplexvirus"	"PMC:11943181,8235469"	"ERS074880"	"WGS"	"SC"	"ERX218585"	"SAMEA1709570"	"Human alphaherpesvirus 3"	"-81.04537"	"33.99882"	"INSDC center name"	""	""	""	""	""	""	""	""	""	"41"	"24686"	"1760"	"1178458"	"35"	"1240178"	"737"	"47275025"	"Illumina HiSeq 2000"	"PAIRED"	"RANDOM"	"GENOMIC"	"2674272"	"ILLUMINA"	"ERP001026"	"2013-06-13T00:00:00"	"1233"	"200"	"2639"	""	""	"39"	"0.95"	"1"	"0.52"	"1"
"SRR19738226"	"1"	"PRJNA850448"	"SAMN29182098"	"Transcriptional response to VZV infection is modulated by RNA Polymerase III in lung epithelial cell lines"	"Short interspersed nuclear elements (SINEs) are retrotransposons that generate exclusively double-stranded noncoding RNAs transcribed by the ancestral RNA polymerase III (Pol III), a multi-subunit polymerase. Although SINE ncRNAs are generally transcriptionally repressed, they can be induced in response to viral infections and can stimulate immune signaling pathways. Indeed, mutations in Pol III have been associated with poor antiviral interferon response following infection with varicella zoster virus (VZV). In this study, we probed the role of Pol III transcripts in the detection and initial immune response to VZV by characterizing the transcriptional response following VZV infection of wild type A549 lung epithelial cells as well as A549 cells lacking specific RNA sensor MAVS, or interferon-stimulated genes RNase L and PKR in presence or absence of functional RNA Pol III. Multiple components of the antiviral sensing and interferon signaling pathways were involved in restricting VZV replication in lung epithelial cells thus suggesting an innate defense system with built-in redundancy. In addition, RNase L deficiency led to a unique transcription profile indicating that RNA Pol III transcriptcs can act as immune sensors of VZV infection. Collectively, these findings suggest an essential role for RNA Pol III in the antiviral response to VZV infection."	"PMC:9359802"	"SRS13477243"	"RNA-Seq"	"UNIVERSITY OF KENTUCKY"	"SRX15784154"	"A549_WT"	"Homo sapiens"	""	""	""	""	""	""	""	""	"lung"	"tissue"	"lung"	"BTO_0000763"	"282"	"801772"	"9751"	"105040594"	"79"	"6376536"	"3785"	"396007351"	"Illumina HiSeq 4000"	"PAIRED"	"cDNA"	"GENOMIC"	"WT_siBrf1_Infected_2"	"ILLUMINA"	"SRP382324"	"2022-07-12T00:00:00"	"1029"	"200"	"3467"	"Human"	""	"0"	""	""	""	""
